Planet Earth II`(2016)`9.5`David Attenborough`https://www.imdb.com/title/tt5491994/
Planet Earth`(2006)`9.4`David Attenborough, Sigourney Weaver`https://www.imdb.com/title/tt0795176/
Band of Brothers`(2001)`9.4`Scott Grimes, Damian Lewis`https://www.imdb.com/title/tt0185906/
Breaking Bad`(2008)`9.4`Bryan Cranston, Aaron Paul`https://www.imdb.com/title/tt0903747/
Chernobyl`(2019)`9.4`Jessie Buckley, Jared Harris`https://www.imdb.com/title/tt7366338/
The Wire`(2002)`9.3`Dominic West, Lance Reddick`https://www.imdb.com/title/tt0306414/
Blue Planet II`(2017)`9.3`David Attenborough, Peter Drost`https://www.imdb.com/title/tt6769208/
Our Planet`(2019)`9.3`David Attenborough`https://www.imdb.com/title/tt9253866/
Cosmos: A Spacetime Odyssey`(2014)`9.2`Neil deGrasse Tyson, Seth MacFarlane`https://www.imdb.com/title/tt2395695/
Cosmos`(1980)`9.2`Carl Sagan, Jaromír Hanzlík`https://www.imdb.com/title/tt0081846/
Game of Thrones`(2011)`9.2`Emilia Clarke, Peter Dinklage`https://www.imdb.com/title/tt0944947/
Avatar: The Last Airbender`(2005)`9.2`Zach Tyler, Mae Whitman`https://www.imdb.com/title/tt0417299/
Rick and Morty`(2013)`9.2`Justin Roiland, Chris Parnell`https://www.imdb.com/title/tt2861424/
The Sopranos`(1999)`9.2`James Gandolfini, Lorraine Bracco`https://www.imdb.com/title/tt0141842/
The Last Dance`(2020)`9.1`Phil Jackson, Michael Jordan`https://www.imdb.com/title/tt8420184/
The World at War`(1973)`9.1`Laurence Olivier, Anthony Eden`https://www.imdb.com/title/tt0071075/
Scam 1992: The Harshad Mehta Story`(2020)`9.1`Pratik Gandhi, Shreya Dhanwanthary`https://www.imdb.com/title/tt12392504/
Life`(2009)`9.1`Oprah Winfrey, David Attenborough`https://www.imdb.com/title/tt1533395/
Fullmetal Alchemist: Brotherhood`(2009)`9.1`Kent Williams, Iemasa Kayumi`https://www.imdb.com/title/tt1355642/
The Vietnam War`(2017)`9.1`Peter Coyote, Huy Duc`https://www.imdb.com/title/tt1877514/
Sherlock`(2010)`9.0`Benedict Cumberbatch, Martin Freeman`https://www.imdb.com/title/tt1475582/
The Twilight Zone`(1959)`9.0`Rod Serling, Robert McCord`https://www.imdb.com/title/tt0052520/
Human Planet`(2011)`9.0`John Hurt, Roger Munns`https://www.imdb.com/title/tt1806234/
The Blue Planet`(2001)`9.0`David Attenborough, Pierce Brosnan`https://www.imdb.com/title/tt0296310/
Persona`(2018)`9.0`Haluk Bilginer, Cansu Dere`https://www.imdb.com/title/tt7920978/
Batman: The Animated Series`(1992)`9.0`Kevin Conroy, Loren Lester`https://www.imdb.com/title/tt0103359/
The Beatles Anthology`(1995)`9.0`Paul McCartney, George Harrison`https://www.imdb.com/title/tt0111893/
Frozen Planet`(2011)`9.0`David Attenborough, Alec Baldwin`https://www.imdb.com/title/tt2092588/
Firefly`(2002)`8.9`Nathan Fillion, Gina Torres`https://www.imdb.com/title/tt0303461/
Dekalog`(1989)`8.9`Artur Barcis, Olgierd Lukaszewicz`https://www.imdb.com/title/tt0092337/
True Detective`(2014)`8.9`Vince Vaughn, Colin Farrell`https://www.imdb.com/title/tt2356777/
Death Note`(2006)`8.9`Mamoru Miyano, Brad Swaile`https://www.imdb.com/title/tt0877057/
The Civil War`(1990)`8.9`David McCullough, Sam Waterston`https://www.imdb.com/title/tt0098769/
Apocalypse: The Second World War`(2009)`8.9`Mathieu Kassovitz, Martin Sheen`https://www.imdb.com/title/tt1508238/
